ID,G3E_FID,CD_SSDW,DEVICE_TYPE,CD_SSXL,NODE1_ID,NODE2_ID
3287,11987354,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,8118786,8148210
3286,11987268,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148114,8118786
11240,24766011,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,11225723,0
3277,11985930,望牛墩供电分局,高压表,万江F18望牛墩线,8148095,8148096
11241,24765036,望牛墩供电分局,10kV开关,万江F18望牛墩线,11225757,11225759
3282,11986203,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148114,11531008
3281,11985975,望牛墩供电分局,10kV导线,万江F18望牛墩线,7882903,8148097
3288,11987363,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148224,8148228
3297,11987504,望牛墩供电分局,变压器,万江F18望牛墩线,7883295,0
3296,11987503,望牛墩供电分局,变压器,万江F18望牛墩线,7883291,0
3298,11987507,望牛墩供电分局,避雷器,万江F18望牛墩线,8148242,0
3301,11987549,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148228,8148230
3299,11987508,望牛墩供电分局,避雷器,万江F18望牛墩线,8148253,0
3292,11987497,望牛墩供电分局,10kV开关,万江F18望牛墩线,7883290,7883291
3289,11987384,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148210,8148224
3293,11987499,望牛墩供电分局,10kV开关,万江F18望牛墩线,7883294,7883295
3295,11987501,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148245,7883294
3294,11987500,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148239,7883290
10929,20632834,望牛墩供电分局,10kV电缆,万江F18望牛墩线,10803555,10803556
2412,11971629,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8148076,7878132
2413,11971630,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8148077,7878137
10873,20632094,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10803575,10803576
9864,19584014,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,10422330,10422331
9863,19584011,望牛墩供电分局,10kV开关,万江F18望牛墩线,10422329,10422330
11127,19458517,望牛墩供电分局,10kV电缆,万江F18望牛墩线,10348755,10350294
2417,11971635,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,7878134,0
2416,11971634,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,8148077,0
2414,11971631,望牛墩供电分局,站房电缆头,万江F18望牛墩线,7878135,0
2415,11971632,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,7878132,0
9865,19584023,望牛墩供电分局,10kV电缆,万江F18望牛墩线,10422331,11458996
10875,20632096,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10803563,0
10874,20632095,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10803550,0
